feature,group,source,window,dtype,description,missing_count_train,missing_ratio_train,constant_in_train,in_behavior_core_linear,in_behavior_core,in_behavior_plus_context,in_demographic_experiment
completed_campaigns_with_redemption,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
has_campaign_history,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,int8,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
has_active_campaign,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,int8,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
has_redeemed_coupon,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int8,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,True,True
has_bc_coupon_opportunity,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,int8,Tamamlanmış Type B/C kampanyalarında bilinen kupon fırsatı göstergesi,0,0.0,False,False,False,True,True
days_since_last_campaign,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,3511,0.5160199882422105,False,False,False,True,True
days_since_last_redemption,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,all history up to snapshot,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,6084,0.8941798941798942,False,False,False,True,True
redemption_campaign_share,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Kupon kullanılan tamamlanmış kampanyaların tamamlanmış kampanyalara oranı,3511,0.5160199882422105,False,False,False,True,True
bc_coupon_redemption_rate,campaign_coupon,campaign_table + campaign_desc + coupon + coupon_redempt,182-day observation window,float64,Tamamlanmış Type B/C kupon fırsatlarında benzersiz kullanım oranı,4971,0.7305996472663139,False,False,False,True,True
classification_1,demographic,hh_demographic,182-day observation window,string,Anonim classification_1 kategorisi; NO_DEMOGRAPHIC_RECORD ve belirsiz değerler ayrı korunur,0,0.0,False,False,False,False,True
classification_2,demographic,hh_demographic,182-day observation window,string,Anonim classification_2 kategorisi; NO_DEMOGRAPHIC_RECORD ve belirsiz değerler ayrı korunur,0,0.0,False,False,False,False,True
classification_3,demographic,hh_demographic,182-day observation window,string,Anonim classification_3 kategorisi; NO_DEMOGRAPHIC_RECORD ve belirsiz değerler ayrı korunur,0,0.0,False,False,False,False,True
homeowner_desc,demographic,hh_demographic,182-day observation window,string,Anonim homeowner_desc kategorisi; NO_DEMOGRAPHIC_RECORD ve belirsiz değerler ayrı korunur,0,0.0,False,False,False,False,True
classification_5,demographic,hh_demographic,182-day observation window,string,Anonim classification_5 kategorisi; NO_DEMOGRAPHIC_RECORD ve belirsiz değerler ayrı korunur,0,0.0,False,False,False,False,True
classification_4,demographic,hh_demographic,182-day observation window,string,Anonim classification_4 kategorisi; NO_DEMOGRAPHIC_RECORD ve belirsiz değerler ayrı korunur,0,0.0,False,False,False,False,True
kid_category_desc,demographic,hh_demographic,182-day observation window,string,Anonim kid_category_desc kategorisi; NO_DEMOGRAPHIC_RECORD ve belirsiz değerler ayrı korunur,0,0.0,False,False,False,False,True
has_demographic,demographic,hh_demographic,182-day observation window,int8,Hanenin demografi kaydına sahip olma göstergesi,0,0.0,False,False,False,True,True
demographic_unknown_count,demographic,hh_demographic,182-day observation window,float64,Demografi kaydı içindeki Unknown/None-Unknown alan sayısı,4410,0.6481481481481481,False,False,False,False,True
has_internal_demographic_unknown,demographic,hh_demographic,182-day observation window,int8,Mevcut demografi kaydında en az bir belirsiz/eksik alan göstergesi,0,0.0,False,False,False,False,True
