feature,group,source,window,dtype,description,missing_count_train,missing_ratio_train,constant_in_train,in_behavior_core_linear,in_behavior_core,in_behavior_plus_context,in_demographic_experiment
gap_cv,purchase_regularity,valid basket purchase days,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,154,0.02263374485596708,False,False,False,False,False
recency_to_typical_gap,purchase_regularity,valid basket purchase days,182-day observation window,float64,Mevcut sessizliğin tipik alışveriş aralığına oranı,10,0.0014697236919459142,False,True,True,True,True
gap_acceleration,purchase_regularity,valid basket purchase days,182-day observation window,float64,Son alışveriş aralığı ile tarihsel medyan aralık farkı,10,0.0014697236919459142,False,True,True,True,True
recent_gap_to_history_ratio,purchase_regularity,valid basket purchase days,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,10,0.0014697236919459142,False,False,False,False,False
customer_spend_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
discounted_line_rate_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_line_rate_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
baskets_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
active_days_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
active_weeks_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
avg_basket_value_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_basket_rate_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_basket_rate_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
unique_products_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
unique_departments_last_4w,temporal_trend,transaction_data + basket + product time windows,last 4 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
customer_spend_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
discounted_line_rate_last_8w,temporal_trend,transaction_data + basket + product time windows,last 8 weeks,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
