split,has_demographic,rows,positive_rows,sample_size_reliable,positive_rate,average_precision,roc_auc,selection_rate,precision,recall
test,0,1489,152,True,0.10208193418401612,0.2831118917482747,0.8120645199385897,0.29147078576225655,0.25806451612903225,0.7368421052631579
validation,0,1467,140,True,0.09543285616905249,0.3229854511882379,0.8156583055226614,0.2985685071574642,0.23972602739726026,0.75
test,1,795,13,False,0.016352201257861635,0.16944131321073885,0.7906747983474327,0.01761006289308176,0.2857142857142857,0.3076923076923077
validation,1,801,10,False,0.012484394506866416,0.3250501162086528,0.9274336283185841,0.0149812734082397,0.4166666666666667,0.5
