feature,importance_mean,importance_std
active_weeks,0.0940417572037357,0.02393506660918754
recent_mean_purchase_gap_3,0.05751560077648929,0.01372203518934124
unique_products,0.01852721606994468,0.014199790072261572
weekly_spend_cv_12w,0.017501658552900534,0.006410587901065358
basket_slope_12w,0.011696202442579726,0.010739405026582147
discounted_basket_rate,0.009181710817619253,0.0035301966276904176
active_weeks_last_4w,0.009085801467813313,0.008376314893380149
customer_spend_last_4w,0.00894659567578869,0.0072619795404669785
spend_slope_12w,0.005720735897819101,0.009330041893748415
customer_spend_total,0.004411464468822568,0.008725348168995659
basket_value_cv,0.004194718979119057,0.004313637652582794
baskets_last_8w,0.003882878680619248,0.004590081054902205
recency_to_typical_gap,0.003632289550475565,0.008387310637745036
customer_spend_last_8w,0.0031298242791330533,0.0047956566530325965
discounted_basket_rate_last_8w,0.0030185557504997657,0.0013707840547810043
median_basket_value,0.0019320842516488135,0.0016499125066374864
gap_trend_last_5,0.0015151646391054693,0.0011084829912306423
avg_products_per_basket,0.0014005826463141732,0.001478534540052632
avg_basket_value_change_8w,0.0013775432226245318,0.0008511700866464354
baskets_last_4w,0.0009561884146297439,0.0051739454957253584
frequency_baskets,0.0006570047084709235,0.0012705780962973875
basket_change_8w,0.0005345043174879438,0.0019968084738847397
coupon_basket_rate_last_8w,0.0003668935002590634,0.004074165862461794
active_weeks_last_8w,0.0002331535410200064,0.0021657442040917173
coupon_basket_rate,0.0001665903171628666,0.001715064522650964
gap_acceleration,0.00012703547603829662,0.0004666429393174879
spend_change_8w,-0.00017784369905045339,0.000676357235741881
baskets_per_active_week,-0.0005079365396120569,0.0005402233958557656
dominant_store_share,-0.0005090532632928413,0.001122536055278984
unique_stores,-0.0007083596912452195,0.0024681653331569318
spend_per_active_week,-0.0012448959277491373,0.005860676985717131
recency_days,-0.0024186218684742328,0.006070054634653041
discount_dependency,-0.0028431494151444844,0.0013095094050761939
single_product_basket_rate,-0.00449760744882885,0.0017981021106120484
last_purchase_gap,-0.006008753882996043,0.0024612300706568987
weekly_basket_cv_12w,-0.00652615327872693,0.005385877665725051
median_purchase_gap,-0.010197773745334378,0.0019740444610569
