dataset_split,household_snapshot_rows,unique_households,inactive_rows,inactive_rate,majority_accuracy_baseline,random_pr_auc_baseline
train,6804,2381,423,0.062169312169312166,0.9378306878306878,0.062169312169312166
validation,2268,2268,150,0.06613756613756613,0.9338624338624338,0.06613756613756613
test,2284,2284,165,0.07224168126094571,0.9277583187390543,0.07224168126094571
